,Fake Fund Managers S&P 500 ETF,S&P 500 Index
1999-12-01,,0.0588961320999997
2000-01-01,,-0.0502425163
2000-02-01,,-0.0189295613
2000-03-01,,0.0978289941999999
2000-04-01,,-0.0300858307999999
2000-05-01,,-0.0205169898000002
2000-06-01,0.0197578134096645,0.024652997
2000-07-01,-0.0154511313105473,-0.0156340229999998
2000-08-01,0.0626169805949817,0.0621143655999996
2000-09-01,-0.0541194435972602,-0.0527932864
2000-10-01,-0.00400792977214692,-0.00422792149999984
2000-11-01,-0.075491567028091,-0.0788393481
2000-12-01,-0.0039471332371005,0.00489413609999989
2001-01-01,0.0421455741821302,0.0354790877
2001-02-01,-0.0939594056164877,-0.0911816697999999
2001-03-01,-0.0570681627584942,-0.0633502413999998
2001-04-01,0.0724596465227609,0.0777105252999999
2001-05-01,0.00426343108693139,0.00669954699999997
2001-06-01,-0.0214061213578071,-0.0243385741999999
2001-07-01,-0.0113663051823653,-0.00984419140000004
2001-08-01,-0.0581473618501236,-0.0626016430999993
2001-09-01,-0.0861456145747365,-0.08075241
2001-10-01,0.0177688571257499,0.0190689065
2001-11-01,0.0775793176461577,0.0767062260999998
2001-12-01,0.0052837704276143,0.00876063329999965
2002-01-01,-0.0105462266733025,-0.0145934830000001
2002-02-01,-0.0185993658489101,-0.0192851375999999
2002-03-01,0.0337048105727735,0.0376092476999998
2002-04-01,-0.0570114626177757,-0.0606280764
2002-05-01,-0.00814634561070571,-0.00736710929999995
2002-06-01,-0.071851264534004,-0.0712389520000002
2002-07-01,-0.077765459388818,-0.0779451444
2002-08-01,0.00468086443692273,0.00656562249999992
2002-09-01,-0.103532872559709,-0.108679505599999
2002-10-01,0.0831874572396949,0.0880158124999999
2002-11-01,0.0571455842754034,0.0588590429
2002-12-01,-0.0549259746873185,-0.0587599999999996
2003-01-01,-0.0232642705772588,-0.0262
2003-02-01,-0.0138276330508726,-0.015
2003-03-01,0.00780974886350294,0.00970999999999989
2003-04-01,0.0789315821235137,0.0823700000000001
2003-05-01,0.0530565544162218,0.0526899999999999
2003-06-01,0.015111806099011,0.0128000000000001
2003-07-01,0.0170359023184257,0.0176300000000003
2003-08-01,0.0133499991673529,0.0194999999999999
2003-09-01,-0.00759690290003134,-0.01062
2003-10-01,0.0542068455910836,0.0565699999999998
2003-11-01,0.0128141058222804,0.00879999999999992
2003-12-01,0.0485437116914251,0.05244
2004-01-01,0.0215793398989532,0.0183549721000003
2004-02-01,0.0138172517993256,0.0138994438
2004-03-01,-0.0161401042687113,-0.0150899999999999
2004-04-01,-0.0152300271009514,-0.0157
2004-05-01,0.0140255121364843,0.0137200000000002
2004-06-01,0.0192249836163809,0.0194400000000001
2004-07-01,-0.034398572130098,-0.0331
