,EcoFunds ESG Aware MSCI USA Small-Cap ETF,MSCI USA Small Cap Extended ESG Focus Net Return Index
2013-12-01,,0.025557300000000005
2014-01-01,,-0.018904699999999997
2014-02-01,,0.05133809999999994
2014-03-01,,-0.00442370000000003
2014-04-01,,-0.02797179999999999
2014-05-01,,0.007965
2014-06-01,,0.04725130000000011
2014-07-01,,-0.04985530000000005
2014-08-01,,0.049528500000000086
2014-09-01,,-0.053515599999999997
2014-10-01,,0.051121399999999984
2014-11-01,,0.008304899999999948
2014-12-01,,0.013607399999999936
2015-01-01,,-0.02241789999999999
2015-02-01,,0.06092800000000009
2015-03-01,,0.014298900000000003
2015-04-01,,-0.0165149
2015-05-01,,0.02083210000000002
2015-06-01,,-0.006045399999999979
2015-07-01,,-0.0066966000000000525
2015-08-01,,-0.06009220000000004
2015-09-01,,-0.048797699999999944
2015-10-01,,0.05630639999999998
2015-11-01,,0.020893199999999945
2015-12-01,,-0.04476579999999997
2016-01-01,,-0.08152479999999995
2016-02-01,,0.009086499999999997
2016-03-01,,0.08463759999999998
2016-04-01,,0.01704069999999991
2016-05-01,,0.023125000000000062
2016-06-01,,-0.0005486999999999576
2016-07-01,,0.05374290000000004
2016-08-01,,0.00986419999999999
2016-09-01,,0.0040477000000000984
2016-10-01,,-0.04129190000000005
2016-11-01,,0.08822010000000002
2016-12-01,,0.022107300000000052
2017-01-01,,0.01194519999999999
2017-02-01,,0.021037399999999984
2017-03-01,,-0.0009325000000000028
2017-04-01,,0.008583900000000089
2017-05-01,,-0.012788099999999969
2017-06-01,,0.026686100000000046
2017-07-01,,0.012770799999999971
2017-08-01,,-0.007955599999999952
2017-09-01,,0.05085739999999994
2017-10-01,,0.015430499999999903
2017-11-01,,0.02716469999999993
2017-12-01,,0.00310940000000004
2018-01-01,,0.0293717
2018-02-01,,-0.04154570000000002
2018-03-01,,0.008772900000000083
2018-04-01,,0.00454090000000007
2018-05-01,0.05119279999999993,0.05523070000000008
2018-06-01,0.01521360000000005,0.01018450000000004
2018-07-01,0.013220699999999974,0.017653799999999942
2018-08-01,0.04313159999999994,0.045169500000000085
2018-09-01,-0.017378099999999952,-0.019675600000000015
2018-10-01,-0.10039019999999999,-0.10280219999999995
2018-11-01,0.015536299999999947,0.01962649999999999
2018-12-01,-0.11642330000000001,-0.11421820000000005
2019-01-01,0.1228494,0.11820380000000008
2019-02-01,0.05009449999999993,0.04938730000000002
2019-03-01,-0.010467099999999951,-0.010187999999999975
2019-04-01,0.036251299999999986,0.03528540000000002
2019-05-01,-0.07464550000000003,-0.07467650000000003
2019-06-01,0.06958789999999992,0.06938460000000002
2019-07-01,0.016696499999999892,0.013486399999999898
2019-08-01,-0.043398999999999965,-0.04094969999999998
2019-09-01,0.02042799999999989,0.018839499999999898
2019-10-01,0.019101100000000093,0.018667100000000048
2019-11-01,0.036751200000000095,0.03693719999999989
2019-12-01,0.02903649999999991,0.028826100000000077
2020-01-01,-0.027662500000000034,-0.028156799999999982
2020-02-01,-0.08819350000000004,-0.0897365
2020-03-01,-0.21927659999999993,-0.21878189999999997
2020-04-01,0.14837089999999997,0.14962739999999997
2020-05-01,0.06547360000000002,0.06212360000000006
2020-06-01,0.029478399999999905,0.03118350000000003
2020-07-01,0.0394893999999999,0.04113359999999999
2020-08-01,0.050652300000000094,0.049285299999999976
2020-09-01,-0.02823359999999997,-0.02799280000000004
2020-10-01,0.027149300000000043,0.027692599999999956
2020-11-01,0.16372980000000004,0.16529539999999998
2020-12-01,0.08092319999999997,0.07915200000000011
2021-01-01,0.04131259999999992,0.04221969999999997
2021-02-01,0.06274620000000009,0.0624378000000001
2021-03-01,0.02288240000000008,0.020357100000000017
2021-04-01,0.03580699999999992,0.03748269999999998
2021-05-01,-0.000751500000000016,-0.0017770000000000286
2021-06-01,0.0137875999999999,0.013892599999999922
2021-07-01,-0.019568999999999948,-0.019486499999999962
2021-08-01,0.017685699999999915,0.01770359999999993
2021-09-01,-0.028564499999999993,-0.028891699999999965
2021-10-01,0.04460400000000009,0.04531459999999998
2021-11-01,-0.04024539999999999,-0.041937
2021-12-01,0.03338679999999994,0.0346626000000001
2022-01-01,-0.07638889999999998,-0.07687750000000004
2022-02-01,0.011807200000000018,0.010548800000000025
2022-03-01,0.011984299999999948,0.012420700000000062
2022-04-01,-0.08727660000000004,-0.0864473
2022-05-01,-0.00028799999999995496,-0.001391800000000054
2022-06-01,-0.08994219999999997,-0.09143610000000002
2022-07-01,0.10476189999999996,0.10492199999999996
2022-08-01,-0.026436800000000038,-0.027360199999999946
2022-09-01,-0.09023979999999998,-0.09086300000000003
2022-10-01,0.09944569999999997,0.10088889999999995
2022-11-01,0.041518399999999955,0.04163169999999994
2022-12-01,-0.05988530000000003,-0.060248599999999985
2023-01-01,0.10462290000000007,0.10304219999999997
2023-02-01,-0.014041900000000052,-0.014413699999999974
2023-03-01,-0.047498700000000005,-0.046862199999999965
2023-04-01,-0.014415999999999984,-0.015184500000000045
2023-05-01,-0.020895499999999956,-0.01959999999999995
2023-06-01,0.08646320000000007,0.08378899999999989
2023-07-01,0.052083300000000055,0.05134510000000003
2023-08-01,-0.039068800000000015,-0.03973099999999996
2023-09-01,-0.059211000000000014,-0.059899499999999994
2023-10-01,-0.06537890000000002,-0.06431969999999998
2023-11-01,0.09220990000000007,0.09008379999999994
2023-12-01,0.11067920000000009,0.11197919999999995
2024-01-01,-0.032096800000000036,-0.033568400000000054
2024-02-01,0.05463440000000008,0.05604330000000002
2024-03-01,0.040704800000000096,0.03903030000000007
